artifact,category
org.webjars.npm:dagre-d3-unofficial,Software Architecture
org.glassfish.shoal:shoal-gms-impl,Software Configuration Management
io.gravitee.discovery:gravitee-service-discovery-api,Software Configuration Management
org.sistcoop:elasticsearch-test-shaded-antlr4-runtime-4.5.1-1.jar,Software Configuration Management
org.wso2.carbon.transport:org.wso2.carbon.transport.http.netty,Software Configuration Management
org.zkoss.zk:ckez,Software Configuration Management
org.glassfish.docs:administration-guide,Software Configuration Management
com.github.lukaspili:flow-navigation,Software Configuration Management
eu.unicore.services:use-wsrfclient,Software Configuration Management
org.kanomchan:kanomchanCore,Software Configuration Management
com.liferay:org.gradle.gradle-platform-jvm,Software Configuration Management
org.slf4j:com.springsource.slf4j.nop,Software Configuration Management
org.scala-js:scalajs-internal-junit-async-js-support_sjs1.0-RC2_2.11,Software Configuration Management
com.aspose:imaging,Software Configuration Management
io.servicecomb.tests:tracing-tests,Software Configuration Management
org.realityforge.arez:arez-browser-extras,Software Configuration Management
io.smallrye.reactive:mutiny-zero-flow-adapters,Software Configuration Management
org.glassfish.jdbc:jdbc-admin,Software Configuration Management
com.tridion.contentdelivery:cd_dynamic,Software Configuration Management
in.yuvi:http.fluent,Software Configuration Management
org.riftsaw:engine,Software Configuration Management
com.sdl.web:web-oauth,Software Configuration Management
jakarta.batch:jakarta.batch-api,Software Configuration Management
com.fasterxml.jackson.jakarta.rs:jackson-jakarta-rs-base,Software Configuration Management
com.jaspersoft.jasperserver:jasperserver-common-ws,Software Configuration Management
org.ops4j.pax.keycloak:pax-keycloak-jetty,Software Configuration Management
jetty:jsp-api,Software Configuration Management
com.oath.cyclops:cyclops,Software Configuration Management
jakarta.json:jakarta.json-api,Software Configuration Management
org.jboss.osgi.webconsole:jbosgi-webconsole,Software Configuration Management
org.glassfish.packager:glassfish-appclient,Software Configuration Management
com.oracle.jdbc:ojdbc7,Software Configuration Management
org.fujion.webjars:webjar-bootswatch-paper,Software Configuration Management
org.apache.wicket:com.springsource.org.apache.wicket.injection,Software Configuration Management
org.apache.karaf.examples:karaf-websocket-example,Software Quality
org.clamshellcli:clamshell-impl-default,Software Quality
com.buschmais.jqassistant.cli:parent,Software Quality
org.scalaz:scalaz-core_2.9.0.RC2,Software Quality
com.willowtreeapps.opentest4k:opentest4k-watchosarm32,Software Quality
io.dropwizard.metrics5:metrics-annotation,Software Quality
android.arch.persistence.room:compiler,Software Quality
com.github.lolgab:scala-parser-combinators_native0.4.0-M2_2.11,Software Quality
org.eclipse.p2.202309:org.eclipse.swt.win32.win32.x86_64,Software Quality
com.ymock:ymock-client,Software Quality
io.github.origin-energy:java-snapshot-testing-junit5,Software Quality
org.eclipse.p2.201812:org.eclipse.core.contenttype,Software Quality
org.eclipse.birt.runtime.3_7_1:org.eclipse.datatools.modelbase.sql,Software Quality
io.confluent.ksql:ksqldb-rest-app,Software Quality
org.aksw.r2rml:r2rml-jena-sql-transforms,Software Quality
org.dynamicjava:api-bridge,Software Quality
org.wso2.carbon:org.wso2.carbon.relay,Software Engineering Operations
org.teiid.wildfly.connectors:feature-pack-salesforce,Software Engineering Operations
org.eclipse.equinox:javax.servlet,Software Engineering Operations
commons-lang.wso2:commons-lang,Software Engineering Operations
com.google:appengine-local-runtime,Software Engineering Operations
d-haven-managed-pool:d-haven-managed-pool,Software Engineering Operations
org.apache.axis2.wso2:axis2-client,Software Engineering Operations
metrics-clojure:metrics-clojure,Software Engineering Operations
org.wso2.carbon:org.wso2.carbon.caching,Software Engineering Operations
com.netflix.concurrency-limits:concurrency-limits-servlet,Software Engineering Operations
com.adobe.flex:flex-messaging-common,Software Engineering Operations
io.clj:logging,Software Engineering Operations
org.eclipse.kapua:kapua-qa-markers,Software Engineering Operations
io.zipkin.zipkin2:zipkin-storage-mysql-v1,Software Engineering Management
com.atlassian.devrel:developer-toolbox-plugin,Software Engineering Management
ru.ydn.wicket.wicket-orientdb:wicket-orientdb,Software Engineering Management
org.activiti.api:activiti-api-process-runtime,Software Engineering Management
com.softwaremill.sttp.client:akka-http-backend_2.11,Software Engineering Management
com.hubspot.mesos.rx.java:mesos-rxjava-util,Software Engineering Management
org.webjars.bowergithub.vaadin:vaadin-lumo-styles,Software Engineering Management
org.camunda.bpm.webapp:camunda-tasklist-ui,Software Engineering Management
io.quarkus:quarkus-oidc-client,Software Engineering Management
com.byteowls:vaadin-chartjs,Software Engineering Management
org.kie.soup:kie-soup-maven-support,Software Engineering Management
org.duraspace:bagit-support,Software Engineering Management
pl.jalokim.utils:java-utils,Software Utilities
io.ktor:ktor-client-core-linuxx64,Software Utilities
com.aallam.openai:openai-client-js,Software Utilities
tk.nrktkt:ninny_3,Software Utilities
p2.eclipse.plugin:org.eclipse.search,Software Utilities
io.circe:circe-tests_2.12,Software Utilities
p2.eclipse.plugin:org.eclipse.e4.ui.css.core,Software Utilities
dev.zio:zio-schema_2.12,Software Utilities
edu.uci.ics.hyracks:hyracks-control-nc,Software Utilities
p2.eclipse.plugin:org.w3c.dom.smil,Software Utilities
org.jboss.test-jsf:jsf-mockito,Software Design
msv:msv,Software Design
io.ktor:ktor-client-serialization-macosx64,Software Design
org.eclipse.birt:birt,Software Design
com.kenai.nbpwr:javax-media-jai,Software Design
com.google:gwt-incubator-slider,Software Design
org.opensearch.client:opensearch-spark-30_2.13,Software Design
vigna.dsi.unimi.it:jal,Software Design
org.apache.groovy:groovy-xml,Software Security
com.googlecode.xremoting:xremoting-core,Software Security
jakarta.el:jakarta.el-api,Software Security
org.anormcypher:anormcypher_2.11,Software Security
com.madgag.spongycastle:tls,Software Security
apache-xerces:xercesImpl,Software Security
com.googlecode.gwt-proxy-servlet:proxy,Software Security
io.mobilitydata.transit:gtfs-realtime-bindings,Mathematical Foundations
org.iru.rts.classic.wsst:safetirupload-bo,Mathematical Foundations
org.geotools:gt-jdbc,Mathematical Foundations
com.twmacinta:fast-md5,Mathematical Foundations
net.disy.prototype:prototype,Mathematical Foundations
netbeans:mof,Mathematical Foundations
com.twitter:xrayspecs,Software Domain
org.rxtx:rxtx-native,Software Domain
com.badlogicgames.jamepad:jamepad,Software Domain
info.kwarc.sally4:sally4-client,Software Domain
com.paypal.checkout:android-sdk,Software Engineering Economics
jivesoftware:smackx-pubsub,Software Architeture
